,feature,importance,positive_effect
0,TotPkts,-13.688858778455195,False
1,TotBytes,10.304888310396471,True
2,srcBytes_per_Pkt,7.530911548598129,True
3,Bytes_per_Pkt,-5.832579103952939,False
4,igmp,-5.017740567840205,False
5,SrcBytes_bandwidth,-4.0531813261880485,False
6,icmp,3.3555534032707985,True
7,rtcp,-2.151978812654326,False
8,Pkts_bandwidth,-1.8282238624634382,False
9,tcp,1.673416605715691,True
10,ipv6-icmp,-1.5016208773817377,False
11,Bytes_bandwidth,1.465840551059039,True
12,udp,1.065251171933108,True
13,arp,-0.4908845529091211,False
14,Dur,-0.3348300766402361,False
15,SrcBytes,0.13173397767374567,True
16,rtp,-0.04774838756791717,False
