,feature,importance,positive_effect
0,icmp,-7.900607215367978,False
1,TotPkts,-2.6515123857385765,False
2,TotBytes,2.1481027081657715,True
3,SrcBytes,-1.8588621890784947,False
4,Bytes_per_Pkt,1.4241000221044393,True
5,udp,1.3593160414275074,True
6,tcp,1.254051440105911,True
7,igmp,-0.6823011406876,False
8,srcBytes_per_Pkt,-0.5555999135537194,False
9,rtp,-0.453306842351065,False
10,Pkts_bandwidth,0.2853616214410408,True
11,SrcBytes_bandwidth,-0.2698689846403269,False
12,rtcp,-0.24001954764652575,False
13,ipv6-icmp,-0.09903183812746894,False
14,Dur,-0.09299227989638091,False
15,arp,-0.08082932035615661,False
16,Bytes_bandwidth,0.009528917781651183,True
