,feature,importance,positive_effect
0,icmp,-4.813428599298314,False
1,tcp,2.705451294313028,True
2,igmp,-2.039790764764557,False
3,udp,1.3068920728518882,True
4,TotBytes,-0.8833250750438911,False
5,rtcp,-0.836418094223397,False
6,Bytes_bandwidth,0.7633052556385004,True
7,SrcBytes_bandwidth,-0.6967421902219393,False
8,Pkts_bandwidth,-0.6916942963535161,False
9,Bytes_per_Pkt,0.6890270546848509,True
10,Dur,-0.5159389281704071,False
11,srcBytes_per_Pkt,-0.33731397936048485,False
12,SrcBytes,0.2631489958849185,True
13,ipv6-icmp,-0.21280669902827817,False
14,TotPkts,0.20430101173047385,True
15,rtp,-0.145943787112698,False
16,arp,-0.037623772868950536,False
