,feature,importance,positive_effect
0,igmp,-10.965204791272543,False
1,SrcBytes_bandwidth,-5.207058536751973,False
2,tcp,5.168204959680468,True
3,rtp,5.120713873682714,True
4,rtcp,-4.480406054622849,False
5,udp,4.21173016085507,True
6,icmp,3.32462523890794,True
7,srcBytes_per_Pkt,2.6397019003558326,True
8,ipv6-icmp,-2.5778815662309955,False
9,Pkts_bandwidth,-1.4881282325239154,False
10,arp,-1.418441684880419,False
11,Bytes_bandwidth,1.248419297671242,True
12,Bytes_per_Pkt,-1.2327298447795823,False
13,TotBytes,0.5831936104834043,True
14,Dur,-0.3593439494710414,False
15,SrcBytes,-0.18586017837274904,False
16,TotPkts,-0.17639333141521327,False
