,feature,importance,positive_effect
0,icmp,-13.0077552347407,False
1,TotPkts,-11.25833919406771,False
2,TotBytes,8.431276894862819,True
3,tcp,5.559709949309487,True
4,udp,3.5171939382708866,True
5,SrcBytes_bandwidth,-2.817646898955642,False
6,igmp,-2.7372997302875026,False
7,Bytes_per_Pkt,-0.8768432604180366,False
8,srcBytes_per_Pkt,0.6511813495490036,True
9,SrcBytes,-0.6044410060624381,False
10,rtcp,-0.5912043331902478,False
11,Pkts_bandwidth,-0.4427094596290061,False
12,ipv6-icmp,-0.2840032250019876,False
13,Bytes_bandwidth,0.24276322124901467,True
14,Dur,-0.23054382595778697,False
15,arp,-0.12115570048379146,False
16,rtp,-0.10008603740797803,False
