,feature,importance,positive_effect
0,icmp,-16.793093743914948,False
1,SrcBytes,-13.797077634154197,False
2,udp,5.590386921622215,True
3,srcBytes_per_Pkt,5.235052663290931,True
4,rtp,5.061708839915813,True
5,SrcBytes_bandwidth,-3.671144836470703,False
6,tcp,2.699308831481093,True
7,Bytes_per_Pkt,1.891618549971897,True
8,TotPkts,1.8402835447844827,True
9,Pkts_bandwidth,1.6163017685579788,True
10,Bytes_bandwidth,-0.9538185096539916,False
11,TotBytes,-0.3484756053695272,False
12,igmp,-0.28404904310965595,False
13,rtcp,-0.10597365033315152,False
14,Dur,0.09469041349151214,True
15,arp,-0.0798809020083301,False
16,ipv6-icmp,-0.0577377039712541,False
