,feature,importance,positive_effect
0,igmp,-4.224082473857549,False
1,udp,2.7994495272349016,True
2,srcBytes_per_Pkt,-2.7654400753372648,False
3,SrcBytes_bandwidth,-2.2057444297366304,False
4,tcp,1.950727136180055,True
5,rtcp,-1.525616401218417,False
6,icmp,-1.2105547697261663,False
7,rtp,-0.9795517426617963,False
8,TotBytes,-0.9368586823075499,False
9,ipv6-icmp,-0.8161762401789346,False
10,Pkts_bandwidth,-0.5393110173971759,False
11,Bytes_bandwidth,0.5278971850515742,True
12,arp,-0.515275113772679,False
13,SrcBytes,0.31342094562349454,True
14,Dur,-0.2693357889002223,False
15,TotPkts,0.1980494502190474,True
16,Bytes_per_Pkt,-0.05020239508075326,False
